District,Site,Building_YearBuilt,BuildingArea_Name,BuildingArea_YearBuilt,BuildingArea_CodeYear,BuildingArea_ConstructionType,BuildingArea_HasRetrofit
Puyallup,Maplewood Elementary School,1934,Main Area,1934,<1973,Unreinforced Masonry Bearing Walls,No
Riverside,Chattaroy Elementary School,1934,Main Area,1934,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Historic Collins (Future GATES High School),1935,"2,3,4",1955,<1973,Unreinforced Masonry Bearing Walls,No
Boistfort,Boistfort Elementary,1936,Main Area,1935,<1973,Unreinforced Masonry Bearing Walls,No
Harrington,Harrington Elementary & High School,1936,Main Area,1955,<1973,Unreinforced Masonry Bearing Walls,No
Puyallup,Waller Road Elementary School,1936,Main Area,1936,<1973,Unreinforced Masonry Bearing Walls,No
Eastmont,Rock Island Elementary School,1937,Original Building,1936,<1973,Unreinforced Masonry Bearing Walls,No
Ephrata,Ephrata High School,1937,Main Area,1937,<1973,Unreinforced Masonry Bearing Walls,No
Stanwood-Camano,Stanwood Middle School,1937,Main Bldg - 1st Flr,1937,<1973,Concrete Frame Buildings with URM Infill Walls,No
Quincy,Ancient Lakes Elementary School,1938,Main Building,1938,<1973,Unreinforced Masonry Bearing Walls,No
Kelso,Rose Valley Elementary School,1939,A.1,1939,<1973,Unreinforced Masonry Bearing Walls,No
Port Townsend,Port Townsend High School,1941,Main Area,1941,1976-1985,Unreinforced Masonry Bearing Walls,No
Central Kitsap,Jenne Wright Administration,1942,1946 Classroom Addition,1946,<1973,Unreinforced Masonry Bearing Walls,No
Longview,R. A. Long High School,1942,Main Area,1942,<1973,Unreinforced Masonry Bearing Walls,No
Clover Park,Tillicum Elementary School,1944,Area B,1944,<1973,Unreinforced Masonry Bearing Walls,No
Elma,Elma High School,1945,Gymnasium,1945,<1973,Unreinforced Masonry Bearing Walls,Yes
Seattle,View Ridge Elementary School,1947,Unit A - Main Building,1947,<1973,Unreinforced Masonry Bearing Walls,Yes
Blaine,Blaine Elementary School,1948,Original,1948,<1973,Unreinforced Masonry Bearing Walls,No
Shelton,CHOICE Alternative School,1948,1948 Lower Flr,1948,<1973,Concrete Frame Buildings with URM Infill Walls,No
Spokane,Madison Elementary School,1948,Original,1948,<1973,Unreinforced Masonry Bearing Walls,No
Woodland,Woodland Middle School (old HS),1950,Main Area,1954,<1973,Unreinforced Masonry Bearing Walls,No
Ephrata,Ephrata High School,1951,'Gym',1951,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,Gilbert Elementary School,1951,Main Area,1951,<1973,Unreinforced Masonry Bearing Walls,No
Yakima,McClure Elementary School,1951,Main Area,1951,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Broadway Elementary School,1952,Classroom Add,1956,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Franklin Pierce High School,1952,Main Area,1952,<1973,Unreinforced Masonry Bearing Walls,No
Longview,Monticello Middle School,1952,Main Area,1952,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Central Valley Kindergarten Center,1953,Add,1958,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Central Valley Kindergarten Center,1953,Original,1953,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Progress Elementary School,1953,Classroom Add,1957,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Progress Elementary School,1953,Original,1953,<1973,Unreinforced Masonry Bearing Walls,No
Mercer Island,Lakeridge Elementary School,1953,Main Area,1953,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Port Angeles,Port Angeles High School,1953,Main Area,1953,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1953,Main Area,1958,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1953,Main Area,1953,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1953,Main Area,1953,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1953,Main Area,1978,Unknown,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1953,Main Area,1978,Unknown,Unreinforced Masonry Bearing Walls,No
Port Angeles,Port Angeles High School,1953,Main Area,1978,Unknown,Unreinforced Masonry Bearing Walls,No
Dayton,Dayton High School,1954,Main Area,1954,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Evergreen High School Campus,1954,Main Area,1954,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Evergreen High School Campus,1954,Main Area,1954,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Evergreen High School Campus,1954,Main Area,1954,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Pe Ell,Pe Ell School,1954,Main Area,1954,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Franklin Elementary School,1954,Main Area,1954,<1973,Unreinforced Masonry Bearing Walls,No
Quincy,Mountain View Elementary School,1954,Main Building,1954,<1973,Unreinforced Masonry Bearing Walls,No
Richland,Richland High School,1954,3000 building,1954,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Seattle,Alki Elementary School,1954,Unit B - Main Building,1954,<1973,Concrete Frame Buildings with URM Infill Walls,No
Seattle,Alki Elementary School,1954,Unit C - Main Building,1954,<1973,Unreinforced Masonry Bearing Walls,No
Spokane,Bancroft (The Community School),1954,Addition 1960,1960,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Franklin Pierce High School,1955,Main Area,1955,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Franklin Pierce High School,1955,Main Area,1955,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Franklin Pierce High School,1955,Main Area,1955,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Franklin Pierce High School,1955,Main Area,1955,<1973,Unreinforced Masonry Bearing Walls,No
Kent,East Hill Elementary School,1955,Area B2,1958,<1973,Unreinforced Masonry Bearing Walls,No
Mercer Island,Mercer Island High School,1955,Main Area,1955,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,Mercer Island High School,1955,Main Area,1997,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Central Valley,McDonald Elementary School,1956,Classroom Add,1957,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,McDonald Elementary School,1956,Original,1956,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,University Elementary School,1956,Classroom Add,1966,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,University Elementary School,1956,Original,1956,<1973,Unreinforced Masonry Bearing Walls,No
Eastmont,Lee Elementary School,1956,Original Building,1953,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Franklin Pierce,Andrew Christensen Elementary School,1956,"Main Area - 9,10",1956,<1973,Unreinforced Masonry Bearing Walls,No
Mercer Island,Island Park Elementary School,1956,Main Area,1956,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,Island Park Elementary School,1956,Main Area,1995,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,Island Park Elementary School,1956,Main Area,1956,<1973,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Mercer Island,Island Park Elementary School,1956,Main Area,1995,Unknown,Steel Frame with Unreinforced Masonry Infill Walls,Yes
Port Angeles,Hamilton Elementary School,1956,Main Area,1956,<1973,Unreinforced Masonry Bearing Walls,No
Port Angeles,Hamilton Elementary School,1956,Main Area,1978,Unknown,Unreinforced Masonry Bearing Walls,No
Shoreline,Echo Lake Elementary School,1956,Main Area,1956,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Shoreline,Echo Lake Elementary School,1956,Main Area,1964,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Stanwood-Camano,Stanwood Elementary School,1956,Covered Play,1956,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Washtucna,Washtucna Elementary High School,1956,Main Area,1956,<1973,Unreinforced Masonry Bearing Walls,No
White Salmon Valley,Hulan L. Whitson Elementary School,1956,Main Area,1956,<1973,Unreinforced Masonry Bearing Walls,No
Highline,Cascade Middle School,1957,Main Area,1957,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Cascade Middle School,1957,Main Area,1957,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Cascade Middle School,1957,Main Area,1957,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Cascade Middle School,1957,Main Area,1957,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Cascade Middle School,1957,Main Area,1957,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Chinook Middle School,1957,Addition,1957,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Chinook Middle School,1957,Addition,1959,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Chinook Middle School,1957,Addition,1966,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Chinook Middle School,1957,Main Area,1956,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Chinook Middle School,1957,Addition,1966,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Chinook Middle School,1957,Main Area,1956,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Chinook Middle School,1957,Addition,1966,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Highline,Salmon Creek Site (New Start School),1957,Main Area,1957,<1973,Steel Frame with Unreinforced Masonry Infill Walls,No
Longview,Mark Morris High School,1957,Main Area,1957,<1973,Unreinforced Masonry Bearing Walls,No
Longview,Mark Morris High School,1957,Main Area,1957,<1973,Unreinforced Masonry Bearing Walls,No
Longview,Mark Morris High School,1957,Main Area,1957,<1973,Unreinforced Masonry Bearing Walls,No
Longview,Mark Morris High School,1957,Main Area,1957,<1973,Unreinforced Masonry Bearing Walls,No
Longview,Mark Morris High School,1957,Main Area,1957,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Adams Elementary School,1958,Classroom Add,1966,<1973,Unreinforced Masonry Bearing Walls,No
Central Valley,Adams Elementary School,1958,Original,1958,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Morris E. Ford Middle School,1958,1 and 2,1958,<1973,Unreinforced Masonry Bearing Walls,No
Franklin Pierce,Morris E. Ford Middle School,1958,4 and 4A,1958,<1973,Unreinforced Masonry Bearing Walls,No
